,SMILES,Molskill
118,CC1=CC=C(C(NC2=CC=C3C(CN(C)CC3)=C2)=O)C=C1C#CC4=CN=C5N4N=CC=C5,8.76504
119,CC1=CC=C(C(NC2=CC(N(C)N=C3)=C3C=C2)=O)C=C1C#CC4=CN=C5N4N=CC=C5,15.027148
120,CC1=CC=C(C(NC2=CC(N=CN3C)=C3C=C2)=O)C=C1C#CC4=CN=C5N4N=CC=C5,11.446789
121,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=CN=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,11.732079
122,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=C(F)N=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,13.701129
123,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=C(Cl)N=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,11.199187
124,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=CN=C4F)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,11.198881
125,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=CC=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,9.503005
126,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=C(OC)C(OC)=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,12.047674
127,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=CC(C#N)=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,15.770055
128,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=C(OCOC)C=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,8.067517
129,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=C(F)C(C#N)=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,16.199566
130,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=CC(CO)=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,9.068947
131,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=C(C#N)C=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,12.219042
132,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=C(OCCOC)C=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,9.917971
133,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=C(OC(C)(C)C)C=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,5.3889804
134,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=C(OCCO5)C5=C4)=C3C=C2)=O)C=C1C#CC6=CN=C7N6N=CC=C7,6.9854674
135,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC(OCO5)=C5C=C4)=C3C=C2)=O)C=C1C#CC6=CN=C7N6N=CC=C7,10.253977
136,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=C(N5CCOCC5)C=C4)=C3C=C2)=O)C=C1C#CC6=CN=C7N6N=CC=C7,7.3583856
137,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CC=C(N5CCN(C)CC5)C=C4)=C3C=C2)=O)C=C1C#CC6=CN=C7N6N=CC=C7,10.080917
138,CC1=CC=C(C(NC2=CC(N(CC)C=C3C4=CC=C(F)N=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,14.474944
139,CC1=CC=C(C(NC2=CC(N(CC)C=C3C4=CC=C(OCOC)C=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,9.235447
140,CC1=CC=C(C(NC2=CC(N(CC)C=C3C4=CC=C(C#N)C=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,12.439571
141,CC1=CC=C(C(NC2=CC(N(CC)C=C3C4=CC=CC(C#N)=C4)=C3C=C2)=O)C=C1C#CC5=CN=C6N5N=CC=C6,16.334719
142,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CN=C(F)C=C4)=C3C=C2)=O)C=C1C#CC5=CNC6=C5C=NC=N6,11.932313
143,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CN=C(F)C=C4)=C3C=C2)=O)C=C1C#CC5=CC=NC6=C5C=NN6,11.694994
144,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CN=C(F)C=C4)=C3C=C2)=O)C=C1C#CC5=NNC6=C5C=CC=N6,13.164787
145,CC1=CC=C(C(NC2=CC(N(C)C=C3C4=CN=C(F)C=C4)=C3C=C2)=O)C=C1C#CC5=CC(C=CN6)=C6N=C5,11.912193
